name,company,year,Price,kms_driven,fuel_type
Santro Xing,Hyundai,2007,80000,45000,Petrol
Figo,Ford,2012,175000,41000,Diesel
Eon,Hyundai,2013,190000,25000,Petrol
Fabia Classic,Skoda,2010,182000,60000,Petrol
Suzuki Alto,Maruti,2014,160000,35550,Petrol
Suzuki Alto,Maruti,2015,75000,39000,Petrol
i20 Sportz,Hyundai,2012,100000,55000,Petrol
Suzuki Alto,Maruti,2017,190000,72000,Petrol
Suzuki Alto,Maruti,2008,95000,70000,Petrol
Bolero DI,Mahindra,2017,180000,23452,Diesel
Suzuki Swift,Maruti,2017,180000,15487,Petrol
Suzuki Wagon,Maruti,2013,105000,39000,Petrol
City ZX,Honda,2017,170000,15000,Diesel
Suzuki Wagon,Maruti,2013,85000,29685,Petrol
Indigo eCS,Tata,2017,200000,130000,Diesel
Spark LS,Chevrolet,2010,110000,41000,Petrol
Fabia 1.2L,Skoda,2011,159500,38200,Diesel
i20 Magna,Hyundai,2009,195000,32000,Petrol
Verna Transform,Hyundai,2008,160000,45000,Petrol
City 1.5,Honda,2005,90000,50000,Petrol
Fabia 1.2L,Skoda,2011,155000,45863,Diesel
Suzuki A,Maruti,2011,189500,12500,Petrol
Beat LT,Chevrolet,2012,135000,45000,Diesel
Suzuki Alto,Maruti,2012,155000,14000,Petrol
Figo Diesel,Ford,2014,195000,50000,Diesel
Spark,Chevrolet,2012,158400,33600,Petrol
Micra XV,Nissan,2011,179000,41000,Petrol
Suzuki Swift,Maruti,2007,125000,70000,Petrol
Suzuki Alto,Maruti,2018,200000,7500,Petrol
Beat,Chevrolet,2015,150000,30000,Petrol
Indica V2,Tata,2006,90000,20000,Petrol
Motors Ambassador,Hindustan,2000,70000,200000,Diesel
Spark LT,Chevrolet,2010,85000,45000,Petrol
Suzuki Swift,Maruti,2010,189500,38500,Diesel
Punto Emotion,Fiat,2012,169500,37200,Diesel
Suzuki Swift,Maruti,2010,159500,43200,Diesel
i10 Sportz,Hyundai,2010,168000,45872,Petrol
Beat LT,Chevrolet,2011,150000,40000,Diesel
Beat LS,Chevrolet,2011,145000,45000,Diesel
Beat LT,Chevrolet,2012,98500,38000,Diesel
Indigo CS,Tata,2011,85000,11400,Diesel
Eon Era,Hyundai,2013,185000,27000,Petrol
Suzuki Wagon,Maruti,2012,199999,44000,Petrol
i20,Hyundai,2009,199000,31000,Petrol
Petra ELX,Fiat,2008,75000,65000,Petrol
Suzuki Alto,Maruti,2011,145000,41000,Petrol
Suzuki Alto,Maruti,2013,125000,39000,Petrol
Suzuki Wagon,Maruti,2009,135000,45000,Petrol
Suzuki Swift,Maruti,2006,135000,45000,Petrol
Suzuki Wagon,Maruti,2010,145000,54870,Petrol
Suzuki Alto,Maruti,2010,135000,34580,Petrol
City ZX,Honda,2008,110000,45000,Petrol
Suzuki Wagon,Maruti,2006,80000,71200,Petrol
Eon Sportz,Hyundai,2012,178000,30000,Petrol
Suzuki Wagon,Maruti,2003,90000,45000,Petrol
Suzuki Esteem,Maruti,2006,95000,45000,Petrol
Beat LS,Chevrolet,2010,120000,43000,Petrol
Beat LS,Chevrolet,2010,80000,56000,Petrol
Accent GLX,Hyundai,2006,80000,56000,Petrol
Indica V2,Tata,2008,150000,11000,Petrol
Indigo CS,Tata,2009,72500,46000,Diesel
Accord,Honda,2009,175000,58559,Petrol
Corolla Altis,Toyota,2009,199999,65000,Petrol
Polo,Volkswagen,2010,199999,60000,Diesel
Manza Aura,Tata,2012,130000,72000,Diesel
Eon,Hyundai,2014,174999,14000,Petrol
Accent,Hyundai,2010,99999,45000,Petrol
Spark LT,Chevrolet,2009,110000,44000,Petrol
Vista Quadrajet,Tata,2011,120000,90000,Diesel
Suzuki Zen,Maruti,2003,85000,69900,Petrol
i10 Magna,Hyundai,2011,175000,45000,Petrol
City ZX,Honda,2008,149000,42000,Petrol
Beat Diesel,Chevrolet,2017,150000,62000,Diesel
Suzuki Versa,Maruti,2004,80000,50000,Petrol
Indigo LX,Tata,2016,130000,104000,Diesel
Santro Xing,Hyundai,2006,75000,46000,Petrol
Suzuki Omni,Maruti,2001,70000,70000,Petrol
Sonata Transform,Hyundai,2017,190000,36469,Diesel
Suzuki Alto,Maruti,2011,155000,32000,Petrol
Jazz S,Honda,2009,169999,24695,Petrol
Scorpio W,Mahindra,2012,165000,65000,Diesel
Spark LS,Chevrolet,2010,95000,23000,Petrol
Manza ELAN,Tata,2010,155555,111111,Petrol
Indigo LS,Tata,2016,125000,70000,Diesel
i20 Magna,Hyundai,2010,195000,36000,Petrol
Logan Diesel,Mahindra,2009,130000,66000,Petrol
Figo Petrol,Ford,2011,175000,75000,Petrol
Suzuki Versa,Maruti,2004,90000,50000,Petrol
Eon Era,Hyundai,2018,140000,2110,Petrol
Corolla H2,Toyota,2003,150000,100000,Petrol
Indigo CS,Tata,2015,123000,100000,Diesel
Accent Executive,Hyundai,2009,165000,48000,Petrol
Verna 1.6,Hyundai,2016,195000,56000,Diesel
Suzuki Swift,Maruti,2007,130000,62000,Petrol
Suzuki Omni,Maruti,2014,190000,6020,Petrol
Indica,Tata,2005,80000,42000,Petrol
Santro Xing,Hyundai,2003,120000,50000,Petrol
Suzuki Zen,Maruti,2010,149000,35000,Petrol
